time,CH4,N2O
1750.5,729.2,270.1
1850.5,807.6,272.1
1851.5,807.7689743,272.1811321
1852.5,808.5228485,272.2622141
1853.5,809.768605,272.3652689
1854.5,811.1015197,272.4713448
1855.5,812.706285,272.5854469
1856.5,814.1752471,272.700495
1857.5,815.8361037,272.8045873
1858.5,817.7439085,272.8926579
1859.5,819.7897138,273.0387424
1860.5,821.7106413,273.20683
1861.5,823.8025281,273.3978974
1862.5,826.4373838,273.5809692
1863.5,829.5792584,273.7430449
1864.5,833.0220364,273.8991392
1865.5,836.3169873,274.0661892
1866.5,839.7897946,274.2412654
1867.5,843.4275799,274.4133509
1868.5,846.6864589,274.5984369
1869.5,849.5722301,274.7754967
1870.5,851.8820125,274.9416007
1871.5,853.4449077,275.131661
1872.5,854.6896876,275.3137258
1873.5,855.6297801,275.4928303
1874.5,857.2864863,275.6658923
1875.5,858.9403238,275.8419756
1876.5,860.3352503,275.9990464
1877.5,861.8600595,276.1351211
1878.5,863.6249811,276.2801985
1879.5,865.7738137,276.4182874
1880.5,868.1916283,276.5573529
1881.5,870.484504,276.6734386
1882.5,872.755346,276.792515
1883.5,875.113224,276.9045724
1884.5,877.6631187,277.0156532
1885.5,880.5449226,277.1227363
1886.5,883.3638603,277.2198095
1887.5,886.4625831,277.3369023
1888.5,889.4605369,277.4289707
1889.5,892.6953681,277.54704
1890.5,895.9272086,277.6361177
1891.5,899.2151404,277.7171997
1892.5,903.087911,277.8192779
1893.5,906.832691,277.9383543
1894.5,910.0415822,278.080441
1895.5,912.7942357,278.2295162
1896.5,914.3441915,278.3445949
1897.5,915.8522771,278.4636713
1898.5,918.6000477,278.5827477
1899.5,921.8688755,278.7348137
1900.5,925.1446613,278.8878867
1901.5,928.3977421,279.0539602
